Channel,Phase,ADC,TOT_10bit,TOT_12bit,ToA
0,7,0,71,71,0
0,8,0,71,71,0
0,9,0,69,69,0
0,10,0,69,69,0
0,11,0,71,71,0
0,12,0,71,71,0
0,13,0,70,70,0
0,14,0,72,72,0
0,15,0,0,0,0
0,0,0,73,73,0
0,1,0,71,71,0
0,2,0,69,69,0
0,3,0,73,73,0
0,4,0,72,72,0
0,5,0,70,70,0
0,6,0,72,72,0
0,7,0,70,70,0
0,8,0,69,69,0
0,9,0,68,68,0
0,10,0,63,63,0
0,11,0,63,63,0
0,12,0,62,62,0
0,13,0,60,60,0
0,14,0,59,59,0
0,15,0,0,0,0
0,0,0,58,58,0
0,1,0,61,61,0
0,2,0,61,61,0
0,3,0,63,63,0
0,4,0,66,66,0
0,5,0,65,65,0
0,6,0,70,70,0
0,7,0,72,72,0
0,8,0,70,70,0
0,9,0,73,73,0
0,10,0,73,73,0
0,11,0,74,74,0
0,12,0,76,76,0
0,13,0,74,74,0
0,14,0,78,78,0
0,15,0,0,0,0
0,0,0,77,77,0
0,1,0,74,74,0
0,2,0,75,75,0
0,3,0,75,75,0
0,4,0,75,75,0
0,5,0,74,74,0
0,6,0,75,75,0
0,7,0,76,76,0
0,8,0,76,76,0
0,9,0,74,74,0
0,10,0,76,76,0
0,11,0,74,74,0
0,12,0,74,74,0
0,13,0,74,74,0
0,14,0,72,72,0
0,15,0,0,0,0
0,0,0,75,75,0
0,1,0,73,73,0
0,2,0,71,71,0
0,3,0,73,73,0
0,4,0,73,73,0
0,5,0,72,72,0
0,6,0,73,73,0
0,7,0,74,74,0
0,8,0,72,72,0
0,9,0,72,72,0
0,10,0,73,73,0
0,11,0,73,73,0
0,12,0,71,71,0
0,13,0,71,71,0
0,14,0,71,71,0
0,15,0,0,0,0
0,0,0,72,72,0
0,1,0,70,70,0
0,2,0,72,72,0
0,3,0,72,72,0
0,4,0,73,73,0
0,5,0,71,71,0
0,6,0,72,72,0
0,7,0,72,72,0
0,8,0,70,70,0
0,9,0,72,72,0
0,10,0,72,72,0
0,11,0,70,70,0
0,12,0,70,70,0
0,13,0,69,69,0
0,14,0,70,70,0
0,15,0,0,0,0
0,0,0,70,70,0
0,1,0,68,68,0
0,2,0,71,71,0
0,3,0,70,70,0
0,4,0,72,72,0
0,5,0,71,71,0
0,6,0,70,70,0
0,7,0,70,70,0
0,8,0,70,70,0
0,9,0,71,71,0
0,10,0,71,71,0
0,11,0,73,73,0
0,12,0,71,71,0
0,13,0,69,69,0
0,14,0,72,72,0
0,15,0,0,0,0
0,0,0,70,70,0
0,1,0,69,69,0
0,2,0,72,72,0
0,3,0,72,72,0
0,4,0,72,72,0
0,5,0,70,70,0
0,6,0,70,70,0
0,7,0,70,70,0
0,8,0,69,69,0
0,9,0,71,71,0
0,10,0,71,71,0
0,11,0,71,71,0
0,12,0,72,72,0
0,13,0,72,72,0
0,14,0,71,71,0
0,15,0,0,0,0
0,0,0,72,72,0
0,1,0,69,69,0
0,2,0,70,70,0
0,3,0,71,71,0
