Channel,Time,Phase,ADC,TOT,ToA
1,12.5,7,106,0,0
1,14.0625,7,107,0,0
1,37.5,7,105,0,0
1,39.0625,7,107,0,0
1,62.5,7,106,0,0
1,64.0625,7,108,0,0
1,87.5,7,160,0,0
1,89.0625,7,172,0,0
1,112.5,7,146,0,803
1,114.0625,7,146,0,727
1,137.5,7,122,0,0
1,139.0625,7,125,0,0
1,162.5,7,117,0,0
1,164.0625,7,118,0,0
1,187.5,7,113,0,0
1,189.0625,7,114,0,0
1,212.5,7,113,0,0
1,214.0625,7,115,0,0
1,237.5,7,111,0,0
1,239.0625,7,112,0,0
2,12.5,7,98,0,0
2,14.0625,7,98,0,0
2,37.5,7,100,0,0
2,39.0625,7,98,0,0
2,62.5,7,101,0,0
2,64.0625,7,100,0,0
2,87.5,7,154,0,0
2,89.0625,7,161,0,0
2,112.5,7,144,0,790
2,114.0625,7,137,0,732
2,137.5,7,120,0,0
2,139.0625,7,117,0,0
2,162.5,7,112,0,0
2,164.0625,7,109,0,0
2,187.5,7,108,0,0
2,189.0625,7,108,0,0
2,212.5,7,106,0,0
2,214.0625,7,106,0,0
2,237.5,7,105,0,0
2,239.0625,7,104,0,0
3,12.5,7,94,0,0
3,14.0625,7,96,0,0
3,37.5,7,94,0,0
3,39.0625,7,95,0,0
3,62.5,7,94,0,0
3,64.0625,7,94,0,0
3,87.5,7,152,0,0
3,89.0625,7,166,0,0
3,112.5,7,140,0,810
3,114.0625,7,139,0,741
3,137.5,7,114,0,0
3,139.0625,7,114,0,0
3,162.5,7,105,0,0
3,164.0625,7,109,0,0
3,187.5,7,102,0,0
3,189.0625,7,105,0,0
3,212.5,7,101,0,0
3,214.0625,7,101,0,0
3,237.5,7,99,0,0
3,239.0625,7,100,0,0
4,12.5,7,95,0,0
4,14.0625,7,95,0,0
4,37.5,7,95,0,0
4,39.0625,7,94,0,0
4,62.5,7,95,0,0
4,64.0625,7,95,0,0
4,87.5,7,154,0,0
4,89.0625,7,166,0,0
4,112.5,7,141,0,803
4,114.0625,7,138,0,744
4,137.5,7,116,0,0
4,139.0625,7,113,0,0
4,162.5,7,107,0,0
4,164.0625,7,109,0,0
4,187.5,7,104,0,0
4,189.0625,7,104,0,0
4,212.5,7,102,0,0
4,214.0625,7,102,0,0
4,237.5,7,100,0,0
4,239.0625,7,101,0,0
5,12.5,7,84,0,0
5,14.0625,7,84,0,0
5,37.5,7,82,0,0
5,39.0625,7,83,0,0
5,62.5,7,84,0,0
5,64.0625,7,84,0,0
5,87.5,7,141,0,0
5,89.0625,7,150,0,0
5,112.5,7,127,0,792
5,114.0625,7,124,0,749
5,137.5,7,103,0,0
5,139.0625,7,101,0,0
5,162.5,7,94,0,0
5,164.0625,7,95,0,0
5,187.5,7,92,0,0
5,189.0625,7,92,0,0
5,212.5,7,89,0,0
5,214.0625,7,88,0,0
5,237.5,7,88,0,0
5,239.0625,7,89,0,0
6,12.5,7,96,0,0
6,14.0625,7,97,0,0
6,37.5,7,96,0,0
6,39.0625,7,98,0,0
6,62.5,7,95,0,0
6,64.0625,7,97,0,0
6,87.5,7,154,0,0
6,89.0625,7,170,0,0
6,112.5,7,144,0,801
6,114.0625,7,140,0,737
6,137.5,7,114,0,0
6,139.0625,7,116,0,0
6,162.5,7,107,0,0
6,164.0625,7,109,0,0
6,187.5,7,106,0,0
6,189.0625,7,106,0,0
6,212.5,7,104,0,0
6,214.0625,7,106,0,0
6,237.5,7,104,0,0
6,239.0625,7,104,0,0
7,12.5,7,98,0,0
7,14.0625,7,97,0,0
7,37.5,7,97,0,0
7,39.0625,7,95,0,0
7,62.5,7,98,0,0
7,64.0625,7,97,0,0
7,87.5,7,154,0,0
7,89.0625,7,164,0,0
7,112.5,7,144,0,793
7,114.0625,7,138,0,732
7,137.5,7,116,0,0
7,139.0625,7,115,0,0
7,162.5,7,108,0,0
7,164.0625,7,107,0,0
7,187.5,7,106,0,0
7,189.0625,7,105,0,0
7,212.5,7,105,0,0
7,214.0625,7,103,0,0
7,237.5,7,102,0,0
