Channel,Time,Phase,ADC,TOT_10bit,TOT_12bit,ToA
1,0.0,7,157,0,0,0
1,1.5625,8,156,0,0,0
1,3.125,9,160,0,0,0
1,4.6875,10,156,0,0,0
1,6.25,11,157,0,0,0
1,7.8125,12,157,0,0,0
1,9.375,13,161,0,0,0
1,10.9375,14,160,0,0,0
1,12.5,15,157,0,0,0
1,14.0625,0,154,0,0,0
1,15.625,1,160,0,0,0
1,17.1875,2,160,0,0,0
1,18.75,3,157,0,0,0
1,20.3125,4,157,0,0,0
1,21.875,5,157,0,0,0
1,23.4375,6,158,0,0,0
1,25.0,7,156,0,0,0
1,26.5625,8,156,0,0,0
1,28.125,9,160,0,0,0
1,29.6875,10,154,0,0,0
1,31.25,11,157,0,0,0
1,32.8125,12,158,0,0,0
1,34.375,13,159,0,0,0
1,35.9375,14,157,0,0,0
1,37.5,15,156,0,0,0
1,39.0625,0,156,0,0,0
1,40.625,1,157,0,0,0
1,42.1875,2,157,0,0,0
1,43.75,3,156,0,0,0
1,45.3125,4,155,0,0,0
1,46.875,5,154,0,0,0
1,48.4375,6,160,0,0,0
1,50.0,7,157,0,0,0
1,51.5625,8,157,0,0,0
1,53.125,9,159,0,0,0
1,54.6875,10,156,0,0,0
1,56.25,11,158,0,0,0
1,57.8125,12,157,0,0,0
1,59.375,13,159,0,0,0
1,60.9375,14,158,0,0,0
1,62.5,15,157,0,0,0
1,64.0625,0,156,0,0,0
1,65.625,1,157,0,0,0
1,67.1875,2,158,0,0,0
1,68.75,3,156,0,0,0
1,70.3125,4,155,0,0,0
1,71.875,5,157,0,0,0
1,73.4375,6,158,0,0,0
1,75.0,7,159,0,0,0
1,76.5625,8,166,0,0,0
1,78.125,9,176,0,0,0
1,79.6875,10,193,0,0,0
1,81.25,11,217,0,0,0
1,82.8125,12,245,0,0,0
1,84.375,13,271,0,0,0
1,85.9375,14,294,0,0,0
1,87.5,15,312,0,0,0
1,89.0625,0,322,0,0,0
1,90.625,1,325,0,0,0
1,92.1875,2,327,0,0,0
1,93.75,3,321,0,0,0
1,95.3125,4,309,0,0,0
1,96.875,5,297,0,0,0
